id,name,url,price,status,categoryId,categoryName,groupId,vendorName,shop,created
171, Смартфон Realme X2 8/128 White ,https://alser.kz//p/smartfon-realme-x2-8128-white089877,135900,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.126579
172, Смартфон Realme 5 PRO  8/128G Green ,https://alser.kz//p/realme-5-pro-x1971-8128g-green,109000,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.159016
173, Смартфон Realme 5 PRO 8/128G Blue ,https://alser.kz//p/realme-5-pro-8128g-blue,109000,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.189567
174, Смартфон Realme 5 PRO 4/128G green ,https://alser.kz//p/realme-5-pro-x1971-4128g-green,94000,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.220503
175, Смартфон Realme 5 PRO 4/128G синий ,https://alser.kz//p/realme-5-pro-128g-sinij,94000,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.250956
176, Смартфон Realme 5 4/128 Гб фиолетовый ,https://alser.kz//p/realme-5-128-gb-fioletovyj,80900,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.281734
177, Смартфон Realme 5 4/128 Гб синий ,https://alser.kz//p/smartfon-realme-5-4128-blue,80900,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.312786
178," Смартфон Samsung Galaxy S20 Ultra, Black ",https://alser.kz//p/smartfon-samsung-galaxy-s20-ultra-black,496690,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.342607
179," Смартфон Samsung Galaxy S20 Ultra, Gray ",https://alser.kz//p/smartfon-samsung-galaxy-s20-ultra-gray,496690,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.373004
180," Смартфон Samsung Galaxy S20 plus, Black ",https://alser.kz//p/smartfon-samsung-galaxy-s20-plus-black,396690,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.403472
181," Смартфон Samsung Galaxy S20 plus, Gray ",https://alser.kz//p/smartfon-samsung-galaxy-s20-plus-gray,396690,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.434534
182," Смартфон Samsung Galaxy S20 plus, Blue ",https://alser.kz//p/smartfon-samsung-galaxy-s20-plus-blue,396690,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.465466
183, Смартфон Samsung Galaxy S20 Gray ,https://alser.kz//p/smartfon-samsung-galaxy-s20-gray,367190,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.497977
184, Смартфон Samsung Galaxy S20 Blue ,https://alser.kz//p/smartfon-samsung-galaxy-s20-blue,367190,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.529464
185," Смартфон Samsung Galaxy Z Flip, Black ",https://alser.kz//p/samsung-galaxy-z-flip-black,598990,1,,Все смартфоны,,,Alser,2020-04-20 06:43:24.559679
