id,name,url,price
1,Смартфон HUAWEI P Smart (2019) 3/32GB,https://market.yandex.ru/product--smartfon-huawei-p-smart-2019-3-32gb/299703905?show-uid=15490588270791469117216001&nid=54726&context=search,14770
2,Смартфон Xiaomi Redmi 6A 2/16GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-6a-2-16gb/115757023?show-uid=15490588270791469117216002&nid=54726&context=search,5767
3,Смартфон Xiaomi Pocophone F1 6/128GB,https://market.yandex.ru/product--smartfon-xiaomi-pocophone-f1-6-128gb/162603254?show-uid=15490588270791469117216003&nid=54726&context=search,23190
4,Смартфон Xiaomi Redmi 6A 2/32GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-6a-2-32gb/140070210?show-uid=15490588270791469117216004&nid=54726&context=search,6452
5,Телефон Alcatel 3025X,https://market.yandex.ru/product--telefon-alcatel-3025x/323146389?show-uid=15490588270791469117216005&nid=54726&context=search,2790
6,Смартфон Honor 8X 4/128GB,https://market.yandex.ru/product--smartfon-honor-8x-4-128gb/199804145?show-uid=15490588270791469117216006&nid=54726&context=search,18990
7,Смартфон Xiaomi Redmi 6 3/32GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-6-3-32gb/117391685?show-uid=15490588270791469117216007&nid=54726&context=search,8890
8,Смартфон Xiaomi Redmi Note 6 Pro 3/32GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-note-6-pro-3-32gb/204462241?show-uid=15490588270791469117216008&nid=54726&context=search,12490
9,Смартфон Xiaomi Redmi Note 6 Pro 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-note-6-pro-4-64gb/204461244?show-uid=15490588270791469117216009&nid=54726&context=search,14490
10,Смартфон Samsung Galaxy J4 (2018) 32GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-j4-2018-32gb/84440409?show-uid=15490588270791469117216010&nid=54726&context=search,8790
11,Смартфон Honor 8C 3/32GB,https://market.yandex.ru/product--smartfon-honor-8c-3-32gb/250199840?show-uid=15490588270791469117216011&nid=54726&context=search,12990
12,Смартфон Honor 8X 4/64GB,https://market.yandex.ru/product--smartfon-honor-8x-4-64gb/199806155?show-uid=15490588270791469117216012&nid=54726&context=search,15990
13,Смартфон Xiaomi Mi A2 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-a2-4-64gb/133624405?show-uid=15490588270791469117216013&nid=54726&context=search,14790
14,Смартфон Xiaomi Pocophone F1 6/64GB,https://market.yandex.ru/product--smartfon-xiaomi-pocophone-f1-6-64gb/162661032?show-uid=15490588270791469117216014&nid=54726&context=search,21300
15,Смартфон Honor 7A Pro,https://market.yandex.ru/product--smartfon-honor-7a-pro/39917221?show-uid=15490588270791469117216015&nid=54726&context=search,8940
16,Смартфон Samsung Galaxy J6 (2018) 32GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-j6-2018-32gb/70797771?show-uid=15490588270791469117216016&nid=54726&context=search,11800
17,Смартфон Samsung Galaxy J4+ (2018) 3/32GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-j4-2018-3-32gb/194606344?show-uid=15490588270791469117216017&nid=54726&context=search,10690
18,Смартфон Xiaomi Redmi Note 5 3/32GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-note-5-3-32gb/1968186703?show-uid=15490588270791469117216018&nid=54726&context=search,11690
19,Смартфон Xiaomi Redmi 6 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-6-4-64gb/117391686?show-uid=15490588270791469117216019&nid=54726&context=search,11500
20,Смартфон OnePlus 6 8/128GB,https://market.yandex.ru/product--smartfon-oneplus-6-8-128gb/44778688?show-uid=15490588270791469117216020&nid=54726&context=search,29990
21,Смартфон Xiaomi Redmi 5 2/16GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-5-2-16gb/1831858129?show-uid=15490588270791469117216021&nid=54726&context=search,8890
